Date,Technology,Estimated cost of hydrogen production [EUR/kg],Estimated cost of hydrogen production [EUR/MWh]
27/06/2024,Maximum RFNBO compliant,8.80,263.10
28/06/2024,Alcaline,4.90,147.30
28/06/2024,RFNBO compliant,7.90,238.40
28/06/2024,SMR with CCS,2.50,75.00
28/06/2024,SMR without CCS,2.00,58.90
28/06/2024,Minimum RFNBO compliant,7.00,209.60
28/06/2024,Maximum RFNBO compliant,8.70,260.10
01/07/2024,Alcaline,5.10,153.00
01/07/2024,RFNBO compliant,7.00,210.00
01/07/2024,SMR with CCS,2.50,74.40
01/07/2024,SMR without CCS,1.90,58.10
01/07/2024,Minimum RFNBO compliant,5.80,175.40
01/07/2024,Maximum RFNBO compliant,7.90,238.10
02/07/2024,Alcaline,5.20,156.00
02/07/2024,RFNBO compliant,7.50,224.20
02/07/2024,SMR with CCS,2.50,74.80
02/07/2024,SMR without CCS,1.90,58.30
02/07/2024,Minimum RFNBO compliant,6.50,194.30
02/07/2024,Maximum RFNBO compliant,8.60,259.20
03/07/2024,Alcaline,5.10,152.40
03/07/2024,RFNBO compliant,7.20,217.60
03/07/2024,SMR with CCS,2.40,73.20
03/07/2024,SMR without CCS,1.90,57.10
03/07/2024,Minimum RFNBO compliant,6.20,185.60
03/07/2024,Maximum RFNBO compliant,8.20,246.80
04/07/2024,Alcaline,5.10,153.20
04/07/2024,RFNBO compliant,7.40,222.70
04/07/2024,SMR with CCS,2.50,74.30
04/07/2024,SMR without CCS,1.90,58.00
04/07/2024,Minimum RFNBO compliant,5.90,176.90
04/07/2024,Maximum RFNBO compliant,8.50,253.80
05/07/2024,Alcaline,5.10,152.10
05/07/2024,RFNBO compliant,5.50,166.50
05/07/2024,SMR with CCS,2.40,73.50
05/07/2024,SMR without CCS,1.90,57.40
05/07/2024,Minimum RFNBO compliant,4.80,144.40
05/07/2024,Maximum RFNBO compliant,6.50,194.60
08/07/2024,Alcaline,5.00,150.00
08/07/2024,RFNBO compliant,6.20,185.50
08/07/2024,SMR with CCS,2.40,72.30
08/07/2024,SMR without CCS,1.90,56.30
08/07/2024,Minimum RFNBO compliant,5.40,162.50
08/07/2024,Maximum RFNBO compliant,6.90,205.70
09/07/2024,Alcaline,4.90,146.90
09/07/2024,RFNBO compliant,7.80,235.10
09/07/2024,SMR with CCS,2.40,70.80
09/07/2024,SMR without CCS,1.80,55.10
09/07/2024,Minimum RFNBO compliant,7.00,211.10
09/07/2024,Maximum RFNBO compliant,8.50,255.30
10/07/2024,Alcaline,4.80,144.30
10/07/2024,RFNBO compliant,7.30,219.10
10/07/2024,SMR with CCS,2.30,69.90
10/07/2024,SMR without CCS,1.80,54.40
10/07/2024,Minimum RFNBO compliant,6.20,184.70
10/07/2024,Maximum RFNBO compliant,7.90,236.30
11/07/2024,Alcaline,4.80,145.00
11/07/2024,RFNBO compliant,7.80,233.70
11/07/2024,SMR with CCS,2.30,70.40
11/07/2024,SMR without CCS,1.80,54.80
11/07/2024,Minimum RFNBO compliant,7.00,210.80
11/07/2024,Maximum RFNBO compliant,8.40,250.80
12/07/2024,Alcaline,4.90,146.70
12/07/2024,RFNBO compliant,8.10,244.10
12/07/2024,SMR with CCS,2.40,71.50
12/07/2024,SMR without CCS,1.90,55.80
12/07/2024,Minimum RFNBO compliant,7.40,223.40
12/07/2024,Maximum RFNBO compliant,8.70,259.80
15/07/2024,Alcaline,4.80,143.50
15/07/2024,RFNBO compliant,7.50,225.30
15/07/2024,SMR with CCS,2.40,70.70
15/07/2024,SMR without CCS,1.80,55.20
15/07/2024,Minimum RFNBO compliant,6.60,197.30
15/07/2024,Maximum RFNBO compliant,8.60,258.60
16/07/2024,Alcaline,4.90,147.90
16/07/2024,RFNBO compliant,7.20,214.90
16/07/2024,SMR with CCS,2.40,73.10
16/07/2024,SMR without CCS,1.90,57.20
16/07/2024,Minimum RFNBO compliant,6.30,188.90
16/07/2024,Maximum RFNBO compliant,8.00,238.70
17/07/2024,Alcaline,4.80,144.60
17/07/2024,RFNBO compliant,6.90,206.80
17/07/2024,SMR with CCS,2.40,71.40
17/07/2024,SMR without CCS,1.90,55.80
17/07/2024,Minimum RFNBO compliant,5.80,173.90
17/07/2024,Maximum RFNBO compliant,8.20,247.40
18/07/2024,Alcaline,4.80,145.00
18/07/2024,RFNBO compliant,7.90,237.20
18/07/2024,SMR with CCS,2.40,72.40
18/07/2024,SMR without CCS,1.90,56.70
18/07/2024,Minimum RFNBO compliant,7.20,216.80
18/07/2024,Maximum RFNBO compliant,8.60,257.40
19/07/2024,Alcaline,4.80,145.00
19/07/2024,RFNBO compliant,8.40,252.30
19/07/2024,SMR with CCS,2.40,71.80
19/07/2024,SMR without CCS,1.90,56.10
19/07/2024,Minimum RFNBO compliant,7.50,224.60
19/07/2024,Maximum RFNBO compliant,9.10,273.00
22/07/2024,Alcaline,4.90,146.70
22/07/2024,RFNBO compliant,8.20,247.20
22/07/2024,SMR with CCS,2.40,71.60
22/07/2024,SMR without CCS,1.90,55.80
22/07/2024,Minimum RFNBO compliant,7.40,221.90
22/07/2024,Maximum RFNBO compliant,8.90,266.40
23/07/2024,Alcaline,4.90,148.10
23/07/2024,RFNBO compliant,7.70,230.50
23/07/2024,SMR with CCS,2.40,71.00
23/07/2024,SMR without CCS,1.80,55.20
23/07/2024,Minimum RFNBO compliant,6.60,197.90
23/07/2024,Maximum RFNBO compliant,8.60,257.70
24/07/2024,Alcaline,5.10,151.70
24/07/2024,RFNBO compliant,7.70,230.50
24/07/2024,SMR with CCS,2.40,73.10
24/07/2024,SMR without CCS,1.90,57.00
24/07/2024,Minimum RFNBO compliant,6.30,190.40
24/07/2024,Maximum RFNBO compliant,8.40,251.10
25/07/2024,Alcaline,5.00,149.80
25/07/2024,RFNBO compliant,7.80,232.90
25/07/2024,SMR with CCS,2.40,71.60
25/07/2024,SMR without CCS,1.90,55.70
25/07/2024,Minimum RFNBO compliant,6.80,203.60
25/07/2024,Maximum RFNBO compliant,8.50,255.00
26/07/2024,Alcaline,5.00,151.20
26/07/2024,RFNBO compliant,7.60,229.50
26/07/2024,SMR with CCS,2.40,72.60
26/07/2024,SMR without CCS,1.90,56.60
26/07/2024,Minimum RFNBO compliant,6.50,194.00
26/07/2024,Maximum RFNBO compliant,8.20,246.20
29/07/2024,Alcaline,5.10,151.90
29/07/2024,RFNBO compliant,8.10,243.50
29/07/2024,SMR with CCS,2.50,74.70
29/07/2024,SMR without CCS,1.90,58.40
29/07/2024,Minimum RFNBO compliant,7.00,209.60
29/07/2024,Maximum RFNBO compliant,8.70,261.60
30/07/2024,Alcaline,5.00,150.90
30/07/2024,RFNBO compliant,7.60,228.50
30/07/2024,SMR with CCS,2.50,75.40
30/07/2024,SMR without CCS,2.00,59.10
30/07/2024,Minimum RFNBO compliant,5.60,167.60
30/07/2024,Maximum RFNBO compliant,9.30,279.90
31/07/2024,Alcaline,5.10,153.30
31/07/2024,RFNBO compliant,7.80,234.80
31/07/2024,SMR with CCS,2.60,76.70
31/07/2024,SMR without CCS,2.00,60.20
31/07/2024,Minimum RFNBO compliant,6.50,195.20
31/07/2024,Maximum RFNBO compliant,8.70,261.60
01/08/2024,Alcaline,6.10,181.90
01/08/2024,RFNBO compliant,8.10,242.10
01/08/2024,SMR with CCS,2.70,81.00
01/08/2024,SMR without CCS,2.10,62.90
01/08/2024,Minimum RFNBO compliant,6.90,208.10
01/08/2024,Maximum RFNBO compliant,9.20,275.40
02/08/2024,Alcaline,6.00,181.60
02/08/2024,RFNBO compliant,8.50,254.90
02/08/2024,SMR with CCS,2.70,80.70
02/08/2024,SMR without CCS,2.10,62.60
02/08/2024,Minimum RFNBO compliant,7.50,223.70
02/08/2024,Maximum RFNBO compliant,9.10,274.20
05/08/2024,Alcaline,5.90,177.20
05/08/2024,RFNBO compliant,8.30,248.30
05/08/2024,SMR with CCS,2.60,78.80
05/08/2024,SMR without CCS,2.00,61.10
05/08/2024,Minimum RFNBO compliant,7.40,221.00
05/08/2024,Maximum RFNBO compliant,9.00,270.00
06/08/2024,Alcaline,6.00,181.20
06/08/2024,RFNBO compliant,8.30,248.90
06/08/2024,SMR with CCS,2.70,80.50
06/08/2024,SMR without CCS,2.10,62.40
06/08/2024,Minimum RFNBO compliant,6.20,186.50
06/08/2024,Maximum RFNBO compliant,9.40,281.70
07/08/2024,Alcaline,6.20,185.40
07/08/2024,RFNBO compliant,8.00,239.80
07/08/2024,SMR with CCS,2.80,83.60
07/08/2024,SMR without CCS,2.20,65.10
07/08/2024,Minimum RFNBO compliant,6.20,184.70
07/08/2024,Maximum RFNBO compliant,9.10,273.00
08/08/2024,Alcaline,6.20,187.50
08/08/2024,RFNBO compliant,7.80,233.20
08/08/2024,SMR with CCS,2.90,85.90
08/08/2024,SMR without CCS,2.20,67.10
08/08/2024,Minimum RFNBO compliant,5.90,176.60
08/08/2024,Maximum RFNBO compliant,8.80,264.00
09/08/2024,Alcaline,6.30,189.00
09/08/2024,RFNBO compliant,7.90,236.50
09/08/2024,SMR with CCS,2.90,85.80
09/08/2024,SMR without CCS,2.20,67.00
09/08/2024,Minimum RFNBO compliant,5.60,169.10
09/08/2024,Maximum RFNBO compliant,8.90,266.10
12/08/2024,Alcaline,6.30,188.90
12/08/2024,RFNBO compliant,7.00,209.60
12/08/2024,SMR with CCS,2.80,85.50
12/08/2024,SMR without CCS,2.20,66.70
12/08/2024,Minimum RFNBO compliant,5.30,159.50
12/08/2024,Maximum RFNBO compliant,8.90,268.50
13/08/2024,Alcaline,6.30,188.20
13/08/2024,RFNBO compliant,8.00,239.30
13/08/2024,SMR with CCS,2.80,84.40
13/08/2024,SMR without CCS,2.20,65.70
13/08/2024,Minimum RFNBO compliant,6.10,184.40
13/08/2024,Maximum RFNBO compliant,9.20,274.80
14/08/2024,Alcaline,6.30,189.20
14/08/2024,RFNBO compliant,8.60,258.00
14/08/2024,SMR with CCS,2.80,84.30
14/08/2024,SMR without CCS,2.20,65.60
14/08/2024,Minimum RFNBO compliant,7.70,230.60
14/08/2024,Maximum RFNBO compliant,9.20,276.90
15/08/2024,Alcaline,6.40,191.30
15/08/2024,RFNBO compliant,8.60,258.40
15/08/2024,SMR with CCS,2.80,85.10
15/08/2024,SMR without CCS,2.20,66.20
15/08/2024,Minimum RFNBO compliant,7.80,235.40
15/08/2024,Maximum RFNBO compliant,9.30,279.90
16/08/2024,Alcaline,6.30,188.70
16/08/2024,RFNBO compliant,7.10,212.10
16/08/2024,SMR with CCS,2.80,85.10
16/08/2024,SMR without CCS,2.20,66.30
16/08/2024,Minimum RFNBO compliant,6.10,182.90
16/08/2024,Maximum RFNBO compliant,8.40,251.10
19/08/2024,Alcaline,6.40,191.80
19/08/2024,RFNBO compliant,8.40,253.50
19/08/2024,SMR with CCS,2.80,85.50
19/08/2024,SMR without CCS,2.20,66.60
19/08/2024,Minimum RFNBO compliant,7.30,218.90
19/08/2024,Maximum RFNBO compliant,9.30,278.70
20/08/2024,Alcaline,6.30,188.80
20/08/2024,RFNBO compliant,8.60,258.50
20/08/2024,SMR with CCS,2.70,82.40
20/08/2024,SMR without CCS,2.10,63.90
20/08/2024,Minimum RFNBO compliant,7.70,229.70
20/08/2024,Maximum RFNBO compliant,9.40,281.70
21/08/2024,Alcaline,6.20,186.00
21/08/2024,RFNBO compliant,7.90,236.40
21/08/2024,SMR with CCS,2.70,81.30
21/08/2024,SMR without CCS,2.10,63.00
21/08/2024,Minimum RFNBO compliant,6.40,192.50
21/08/2024,Maximum RFNBO compliant,8.60,257.70
22/08/2024,Alcaline,6.10,181.80
22/08/2024,RFNBO compliant,6.80,205.10
22/08/2024,SMR with CCS,2.70,80.50
22/08/2024,SMR without CCS,2.10,62.40
22/08/2024,Minimum RFNBO compliant,6.00,178.70
22/08/2024,Maximum RFNBO compliant,7.80,233.60
23/08/2024,Alcaline,6.00,180.40
23/08/2024,RFNBO compliant,7.20,216.30
23/08/2024,SMR with CCS,2.70,80.70
23/08/2024,SMR without CCS,2.10,62.70
23/08/2024,Minimum RFNBO compliant,5.70,171.80
23/08/2024,Maximum RFNBO compliant,9.50,284.10
27/08/2024,Alcaline,6.10,183.80
27/08/2024,RFNBO compliant,6.90,206.30
27/08/2024,SMR with CCS,2.80,83.40
27/08/2024,SMR without CCS,2.20,65.00
27/08/2024,Minimum RFNBO compliant,5.70,170.60
27/08/2024,Maximum RFNBO compliant,9.30,278.70
28/08/2024,Alcaline,6.20,187.50
28/08/2024,RFNBO compliant,8.30,249.70
28/08/2024,SMR with CCS,2.80,83.60
28/08/2024,SMR without CCS,2.20,65.10
28/08/2024,Minimum RFNBO compliant,7.00,209.90
28/08/2024,Maximum RFNBO compliant,9.40,282.30
29/08/2024,Alcaline,6.20,186.00
29/08/2024,RFNBO compliant,8.60,256.80
29/08/2024,SMR with CCS,2.80,83.70
29/08/2024,SMR without CCS,2.20,65.20
29/08/2024,Minimum RFNBO compliant,7.70,231.50
29/08/2024,Maximum RFNBO compliant,9.30,278.10
30/08/2024,Alcaline,6.20,186.00
30/08/2024,RFNBO compliant,9.10,274.70
30/08/2024,SMR with CCS,2.80,84.40
30/08/2024,SMR without CCS,2.20,65.90
30/08/2024,Minimum RFNBO compliant,8.20,247.10
30/08/2024,Maximum RFNBO compliant,9.80,293.70
02/09/2024,Alcaline,6.40,191.00
02/09/2024,RFNBO compliant,8.90,268.50
02/09/2024,SMR with CCS,2.80,83.80
02/09/2024,SMR without CCS,2.20,65.00
02/09/2024,Minimum RFNBO compliant,8.00,239.00
02/09/2024,Maximum RFNBO compliant,9.60,287.10
03/09/2024,Alcaline,6.10,184.50
03/09/2024,RFNBO compliant,9.20,276.10
03/09/2024,SMR with CCS,2.70,81.20
03/09/2024,SMR without CCS,2.10,62.90
03/09/2024,Minimum RFNBO compliant,8.40,253.50
03/09/2024,Maximum RFNBO compliant,9.70,291.60
04/09/2024,Alcaline,6.10,182.90
04/09/2024,RFNBO compliant,9.70,290.70
04/09/2024,SMR with CCS,2.60,79.00
04/09/2024,SMR without CCS,2.00,61.10
04/09/2024,Minimum RFNBO compliant,8.60,256.80
04/09/2024,Maximum RFNBO compliant,11.10,333.90
05/09/2024,Alcaline,6.10,182.80
05/09/2024,RFNBO compliant,9.20,275.40
05/09/2024,SMR with CCS,2.70,79.60
05/09/2024,SMR without CCS,2.10,61.60
05/09/2024,Minimum RFNBO compliant,8.50,254.40
05/09/2024,Maximum RFNBO compliant,10.00,300.00
06/09/2024,Alcaline,6.10,184.40
06/09/2024,RFNBO compliant,8.00,240.40
06/09/2024,SMR with CCS,2.70,80.00
06/09/2024,SMR without CCS,2.10,61.90
06/09/2024,Minimum RFNBO compliant,7.50,225.50
06/09/2024,Maximum RFNBO compliant,9.10,273.30
09/09/2024,Alcaline,6.20,185.60
09/09/2024,RFNBO compliant,7.80,235.40
09/09/2024,SMR with CCS,2.70,81.40
09/09/2024,SMR without CCS,2.10,63.10
09/09/2024,Minimum RFNBO compliant,7.60,227.30
09/09/2024,Maximum RFNBO compliant,8.20,245.00
10/09/2024,Alcaline,5.90,178.60
10/09/2024,RFNBO compliant,8.00,240.80
10/09/2024,SMR with CCS,2.60,78.10
10/09/2024,SMR without CCS,2.00,60.40
10/09/2024,Minimum RFNBO compliant,6.50,194.30
10/09/2024,Maximum RFNBO compliant,8.90,267.60
11/09/2024,Alcaline,6.00,178.70
11/09/2024,RFNBO compliant,6.90,207.10
11/09/2024,SMR with CCS,2.60,79.60
11/09/2024,SMR without CCS,2.10,61.70
11/09/2024,Minimum RFNBO compliant,5.80,174.80
11/09/2024,Maximum RFNBO compliant,7.60,227.60
12/09/2024,Alcaline,5.80,174.70
12/09/2024,RFNBO compliant,7.50,224.40
12/09/2024,SMR with CCS,2.60,78.00
12/09/2024,SMR without CCS,2.00,60.50
12/09/2024,Minimum RFNBO compliant,6.40,193.10
12/09/2024,Maximum RFNBO compliant,8.20,246.80
13/09/2024,Alcaline,5.90,176.50
13/09/2024,RFNBO compliant,8.10,244.50
13/09/2024,SMR with CCS,2.60,78.70
13/09/2024,SMR without CCS,2.00,61.10
13/09/2024,Minimum RFNBO compliant,7.00,209.00
13/09/2024,Maximum RFNBO compliant,9.50,285.30
16/09/2024,Alcaline,5.60,167.40
16/09/2024,RFNBO compliant,7.30,219.60
16/09/2024,SMR with CCS,2.50,75.80
16/09/2024,SMR without CCS,2.00,58.80
16/09/2024,Minimum RFNBO compliant,6.00,180.80
16/09/2024,Maximum RFNBO compliant,8.50,255.60
17/09/2024,Alcaline,5.70,171.70
17/09/2024,RFNBO compliant,7.10,212.80
17/09/2024,SMR with CCS,2.60,77.90
17/09/2024,SMR without CCS,2.00,60.50
17/09/2024,Minimum RFNBO compliant,5.10,152.30
17/09/2024,Maximum RFNBO compliant,9.00,270.30
18/09/2024,Alcaline,5.70,170.50
18/09/2024,RFNBO compliant,6.60,198.50
18/09/2024,SMR with CCS,2.60,77.60
18/09/2024,SMR without CCS,2.00,60.30
18/09/2024,Minimum RFNBO compliant,5.00,151.10
18/09/2024,Maximum RFNBO compliant,8.50,255.60
19/09/2024,Alcaline,5.50,165.00
19/09/2024,RFNBO compliant,7.50,226.20
19/09/2024,SMR with CCS,2.50,73.70
19/09/2024,SMR without CCS,1.90,57.00
19/09/2024,Minimum RFNBO compliant,6.00,179.60
19/09/2024,Maximum RFNBO compliant,8.40,251.10
20/09/2024,Alcaline,5.80,172.90
20/09/2024,RFNBO compliant,7.90,236.30
20/09/2024,SMR with CCS,2.60,76.90
20/09/2024,SMR without CCS,2.00,59.50
20/09/2024,Minimum RFNBO compliant,6.20,186.80
20/09/2024,Maximum RFNBO compliant,9.40,282.00
23/09/2024,Alcaline,5.80,174.10
23/09/2024,RFNBO compliant,7.80,235.50
23/09/2024,SMR with CCS,2.60,78.70
23/09/2024,SMR without CCS,2.00,61.20
23/09/2024,Minimum RFNBO compliant,6.60,198.20
23/09/2024,Maximum RFNBO compliant,9.40,283.20
24/09/2024,Alcaline,5.90,175.80
24/09/2024,RFNBO compliant,8.60,257.50
24/09/2024,SMR with CCS,2.60,78.80
24/09/2024,SMR without CCS,2.00,61.20
24/09/2024,Minimum RFNBO compliant,6.60,197.30
24/09/2024,Maximum RFNBO compliant,10.00,300.60
25/09/2024,Alcaline,6.00,179.20
25/09/2024,RFNBO compliant,8.00,240.50
25/09/2024,SMR with CCS,2.70,81.10
25/09/2024,SMR without CCS,2.10,63.10
25/09/2024,Minimum RFNBO compliant,6.50,195.50
25/09/2024,Maximum RFNBO compliant,8.80,264.60
26/09/2024,Alcaline,6.00,181.50
26/09/2024,RFNBO compliant,7.20,217.00
26/09/2024,SMR with CCS,2.70,82.00
26/09/2024,SMR without CCS,2.10,63.80
26/09/2024,Minimum RFNBO compliant,6.00,180.20
26/09/2024,Maximum RFNBO compliant,8.50,256.50
27/09/2024,Alcaline,6.10,182.10
27/09/2024,RFNBO compliant,6.00,180.50
27/09/2024,SMR with CCS,2.70,81.80
27/09/2024,SMR without CCS,2.10,63.70
27/09/2024,Minimum RFNBO compliant,4.80,143.80
27/09/2024,Maximum RFNBO compliant,7.20,215.90
30/09/2024,Alcaline,6.10,183.20
30/09/2024,RFNBO compliant,5.20,157.40
30/09/2024,SMR with CCS,2.80,83.30
30/09/2024,SMR without CCS,2.20,65.00
30/09/2024,Minimum RFNBO compliant,4.90,145.90
30/09/2024,Maximum RFNBO compliant,5.60,168.20
01/10/2024,Alcaline,6.80,204.20
01/10/2024,RFNBO compliant,6.40,192.50
01/10/2024,SMR with CCS,2.90,85.80
01/10/2024,SMR without CCS,2.20,66.30
01/10/2024,Minimum RFNBO compliant,4.70,139.60
01/10/2024,Maximum RFNBO compliant,8.40,253.20
02/10/2024,Alcaline,6.70,202.20
02/10/2024,RFNBO compliant,7.60,228.90
02/10/2024,SMR with CCS,2.80,84.50
02/10/2024,SMR without CCS,2.20,65.20
02/10/2024,Minimum RFNBO compliant,6.90,206.00
02/10/2024,Maximum RFNBO compliant,8.80,263.10
03/10/2024,Alcaline,6.70,201.10
03/10/2024,RFNBO compliant,8.30,249.80
03/10/2024,SMR with CCS,2.90,86.10
03/10/2024,SMR without CCS,2.20,66.60
03/10/2024,Minimum RFNBO compliant,8.00,239.60
03/10/2024,Maximum RFNBO compliant,8.50,255.60
04/10/2024,Alcaline,6.70,202.50
04/10/2024,RFNBO compliant,7.40,220.90
04/10/2024,SMR with CCS,2.90,87.60
04/10/2024,SMR without CCS,2.30,68.00
04/10/2024,Minimum RFNBO compliant,6.60,198.50
04/10/2024,Maximum RFNBO compliant,8.20,244.70
07/10/2024,Alcaline,6.80,203.30
07/10/2024,RFNBO compliant,8.60,258.30
07/10/2024,SMR with CCS,2.90,87.50
07/10/2024,SMR without CCS,2.30,67.80
07/10/2024,Minimum RFNBO compliant,7.80,233.30
07/10/2024,Maximum RFNBO compliant,9.20,275.70
08/10/2024,Alcaline,6.80,202.90
08/10/2024,RFNBO compliant,7.30,219.80
08/10/2024,SMR with CCS,2.80,84.90
08/10/2024,SMR without CCS,2.20,65.50
08/10/2024,Minimum RFNBO compliant,6.50,194.60
08/10/2024,Maximum RFNBO compliant,8.20,246.20
09/10/2024,Alcaline,6.70,202.50
09/10/2024,RFNBO compliant,6.80,204.40
09/10/2024,SMR with CCS,2.80,84.60
09/10/2024,SMR without CCS,2.20,65.20
09/10/2024,Minimum RFNBO compliant,5.20,156.80
09/10/2024,Maximum RFNBO compliant,8.50,255.60
10/10/2024,Alcaline,6.80,204.80
10/10/2024,RFNBO compliant,6.70,200.50
10/10/2024,SMR with CCS,2.90,86.90
10/10/2024,SMR without CCS,2.20,67.20
10/10/2024,Minimum RFNBO compliant,4.90,148.30
10/10/2024,Maximum RFNBO compliant,8.30,247.70
11/10/2024,Alcaline,6.90,206.20
11/10/2024,RFNBO compliant,7.10,214.60
11/10/2024,SMR with CCS,2.90,86.20
11/10/2024,SMR without CCS,2.20,66.50
11/10/2024,Minimum RFNBO compliant,6.30,188.90
11/10/2024,Maximum RFNBO compliant,7.80,233.90
14/10/2024,Alcaline,7.00,209.80
14/10/2024,RFNBO compliant,8.30,248.30
14/10/2024,SMR with CCS,2.90,87.60
14/10/2024,SMR without CCS,2.30,67.60
14/10/2024,Minimum RFNBO compliant,7.80,234.80
14/10/2024,Maximum RFNBO compliant,8.60,256.80
15/10/2024,Alcaline,6.90,207.70
15/10/2024,RFNBO compliant,9.00,271.00
15/10/2024,SMR with CCS,2.90,86.80
15/10/2024,SMR without CCS,2.20,67.00
15/10/2024,Minimum RFNBO compliant,8.00,239.60
15/10/2024,Maximum RFNBO compliant,9.40,282.60
16/10/2024,Alcaline,6.80,203.50
16/10/2024,RFNBO compliant,8.10,244.70
16/10/2024,SMR with CCS,2.90,85.80
16/10/2024,SMR without CCS,2.20,66.20
16/10/2024,Minimum RFNBO compliant,7.10,214.40
16/10/2024,Maximum RFNBO compliant,8.80,263.70
17/10/2024,Alcaline,6.80,205.30
17/10/2024,RFNBO compliant,6.10,183.90
17/10/2024,SMR with CCS,2.90,86.40
17/10/2024,SMR without CCS,2.20,66.70
17/10/2024,Minimum RFNBO compliant,5.50,165.20
17/10/2024,Maximum RFNBO compliant,6.40,191.30
18/10/2024,Alcaline,6.80,204.60
18/10/2024,RFNBO compliant,7.30,218.90
18/10/2024,SMR with CCS,2.90,85.70
18/10/2024,SMR without CCS,2.20,66.10
18/10/2024,Minimum RFNBO compliant,6.30,190.40
18/10/2024,Maximum RFNBO compliant,8.10,242.90
21/10/2024,Alcaline,6.80,205.20
21/10/2024,RFNBO compliant,8.00,239.50
21/10/2024,SMR with CCS,2.90,86.90
21/10/2024,SMR without CCS,2.20,67.20
21/10/2024,Minimum RFNBO compliant,6.40,191.60
21/10/2024,Maximum RFNBO compliant,9.40,280.80
22/10/2024,Alcaline,6.90,206.90
22/10/2024,RFNBO compliant,8.00,240.00
22/10/2024,SMR with CCS,2.90,88.30
22/10/2024,SMR without CCS,2.30,68.30
22/10/2024,Minimum RFNBO compliant,7.00,211.40
22/10/2024,Maximum RFNBO compliant,8.70,261.90
23/10/2024,Alcaline,7.10,214.10
23/10/2024,RFNBO compliant,8.40,251.80
23/10/2024,SMR with CCS,3.00,89.50
23/10/2024,SMR without CCS,2.30,69.10
23/10/2024,Minimum RFNBO compliant,7.90,236.90
23/10/2024,Maximum RFNBO compliant,9.00,270.00
24/10/2024,Alcaline,7.20,217.70
24/10/2024,RFNBO compliant,8.70,259.80
24/10/2024,SMR with CCS,3.00,91.00
24/10/2024,SMR without CCS,2.30,70.30
24/10/2024,Minimum RFNBO compliant,7.70,231.50
24/10/2024,Maximum RFNBO compliant,9.50,285.60
25/10/2024,Alcaline,7.30,219.30
25/10/2024,RFNBO compliant,8.00,240.50
25/10/2024,SMR with CCS,3.10,92.80
25/10/2024,SMR without CCS,2.40,71.90
25/10/2024,Minimum RFNBO compliant,6.90,206.60
25/10/2024,Maximum RFNBO compliant,9.10,273.00
28/10/2024,Alcaline,7.30,218.80
28/10/2024,RFNBO compliant,8.20,247.20
28/10/2024,SMR with CCS,3.00,91.50
28/10/2024,SMR without CCS,2.40,70.70
28/10/2024,Minimum RFNBO compliant,6.90,206.30
28/10/2024,Maximum RFNBO compliant,9.70,291.00
29/10/2024,Alcaline,7.50,223.90
29/10/2024,RFNBO compliant,8.30,249.80
29/10/2024,SMR with CCS,3.10,91.80
29/10/2024,SMR without CCS,2.40,70.80
29/10/2024,Minimum RFNBO compliant,7.60,229.10
29/10/2024,Maximum RFNBO compliant,9.20,275.10
30/10/2024,Alcaline,7.30,218.70
30/10/2024,RFNBO compliant,9.00,270.60
30/10/2024,SMR with CCS,3.00,89.20
30/10/2024,SMR without CCS,2.30,68.70
30/10/2024,Minimum RFNBO compliant,7.40,223.10
30/10/2024,Maximum RFNBO compliant,10.70,321.00
31/10/2024,Alcaline,7.20,217.40
31/10/2024,RFNBO compliant,8.80,263.00
31/10/2024,SMR with CCS,2.90,87.80
31/10/2024,SMR without CCS,2.20,67.40
31/10/2024,Minimum RFNBO compliant,7.60,228.80
31/10/2024,Maximum RFNBO compliant,10.10,301.80
01/11/2024,Alcaline,6.90,208.10
01/11/2024,RFNBO compliant,8.90,267.00
01/11/2024,SMR with CCS,2.80,85.40
01/11/2024,SMR without CCS,2.20,65.70
01/11/2024,Minimum RFNBO compliant,8.30,249.20
01/11/2024,Maximum RFNBO compliant,9.10,274.20
04/11/2024,Alcaline,7.00,210.50
04/11/2024,RFNBO compliant,8.20,246.70
04/11/2024,SMR with CCS,2.90,87.70
04/11/2024,SMR without CCS,2.30,67.60
04/11/2024,Minimum RFNBO compliant,7.70,231.80
04/11/2024,Maximum RFNBO compliant,8.90,268.50
05/11/2024,Alcaline,7.00,211.30
05/11/2024,RFNBO compliant,9.50,284.10
05/11/2024,SMR with CCS,2.90,87.70
05/11/2024,SMR without CCS,2.30,67.70
05/11/2024,Minimum RFNBO compliant,8.70,259.80
05/11/2024,Maximum RFNBO compliant,10.30,308.10
06/11/2024,Alcaline,7.00,210.30
06/11/2024,RFNBO compliant,10.40,312.20
06/11/2024,SMR with CCS,2.90,88.20
06/11/2024,SMR without CCS,2.30,68.10
06/11/2024,Minimum RFNBO compliant,9.00,271.50
06/11/2024,Maximum RFNBO compliant,11.70,350.20
07/11/2024,Alcaline,7.20,217.20
07/11/2024,RFNBO compliant,11.20,337.80
07/11/2024,SMR with CCS,3.00,89.60
07/11/2024,SMR without CCS,2.30,69.00
07/11/2024,Minimum RFNBO compliant,9.10,272.70
07/11/2024,Maximum RFNBO compliant,14.20,425.50
08/11/2024,Alcaline,7.40,223.40
08/11/2024,RFNBO compliant,10.10,303.80
08/11/2024,SMR with CCS,3.00,91.20
08/11/2024,SMR without CCS,2.30,70.20
