"Last Updated On",1/27/2026,
Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Original Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Requested Maximum Injection Capability (MW),Requested Network Resource Deliverability (MW),Nameplate Capacity,Generation Type,Fuel Type,Substation or Line,Request Received,Date Withdrawn,Status,JTIQ Participant,JTIQ Commitment,Cause of Delay
"GEN-2024-132","","DISIS-2024-001","04 SOUTHEAST","Milburn","OK","OGE","5/30/2030","6/30/2031",,,"1300","1300","1300","ER/NR","1300","1300","1904","Thermal","Gas","Hugo (71 miles) - Sunnyside (42 miles) 345 kV Line","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-129","","DISIS-2024-001","03 CENTRAL","Labette","KS","WERE","4/28/2030","12/31/2030",,,"910","910","910","ER/NR","910","910","969","Thermal","Gas","Caney River - Neosho 345 kV Line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-128","","DISIS-2024-001","04 SOUTHEAST","Anadarko","OK","OGE","4/28/2030","12/31/2030",,,"690","690","690","ER/NR","690","690","726.9","Thermal","Gas","Gracemont - Lawton 345 kV Line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-125","","DISIS-2024-001","03 CENTRAL","Elk ","KS","WERE","5/1/2028","6/30/2028",,,"400","400","400","ER/NR","400","400","410.43","Solar","Photovoltaic","Neosho Ridge - Caney River 345 kV Line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-124","","DISIS-2024-001","05 SOUTHWEST","Lea","NM","NEETSW","8/1/2028","10/1/2028",,,"420","420","420","ER/NR","420","420","435","Hybrid","Solar/Storage","Crossroads-Hobbs-Roadrunner 345 kV Line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-123","","DISIS-2024-001","04 SOUTHEAST","Shelby","TX","AEP","9/1/2030","12/31/2030",,,"120","120","120","ER/NR","120","120","123.76","Solar","Photovoltaic","Center - Tenaha 138 kV Line","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-122","","DISIS-2024-001","04 SOUTHEAST","Marion","TX","AEP","8/1/2029","10/31/2029",,,"160","160","160","ER/NR","160","160","373.46","Hybrid","Solar/Storage","Lieberman - IPC Jefferson 138 kV Line","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-121","","DISIS-2024-001","03 CENTRAL","Leavenworth","KS","WERE","6/30/2028","12/31/2028",,,"199","199","199","ER/NR","199","199","201.15","Battery/Storage","Battery","Jarbalo 115 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-120","","DISIS-2024-001","04 SOUTHEAST","Oklahoma ","OK","OGE","6/30/2028","12/31/2028",,,"199","199","199","ER/NR","199","199","201.15","Battery/Storage","Battery","JNS KAMO 138 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-119","","DISIS-2024-001","04 SOUTHEAST","Cleveland","OK","WFEC","6/30/2028","12/31/2028",,,"199","199","199","ER/NR","199","199","201.15","Battery/Storage","Battery","Lexington 138 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-118","","DISIS-2024-001","04 SOUTHEAST","Wagoner","OK","AEP","6/30/2028","12/31/2028",,,"199","199","199","ER/NR","199","199","201.15","Battery/Storage","Battery","East 11th Street 138kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-117","","DISIS-2024-001","04 SOUTHEAST","Washington","OK","AEP","6/30/2028","12/31/2028",,,"150","150","150","ER/NR","150","150","192.35","Hybrid","Solar/Storage","Coffeyville Tap - North Bartlesville 138kV Line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-114","","DISIS-2024-001","04 SOUTHEAST","Jackson","AR","SWPA","6/30/2028","12/31/2028",,,"199","199","199","ER/NR","199","199","252.06","Hybrid","Solar/Storage","Jonesboro - Independence County 161 kV Line","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-113","","DISIS-2024-001","04 SOUTHEAST","Sequoyah","OK","OGE","6/30/2028","12/31/2028",,,"300","300","300","ER/NR","300","300","303.81","Hybrid","Solar/Storage","Muskogee - Ft. Smith 345 kV Line","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-109","","DISIS-2024-001","05 SOUTHWEST","Bailey","TX","SPS","12/31/2030","12/31/2031",,,"400.5","400.5","400.5","ER/NR","400.5","400.5","400.5","Wind","Wind","Tolk - Crossroads 345 kV line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-102","","DISIS-2024-001","03 CENTRAL","Finney","KS","SUNC","12/31/2030","12/31/2031",,,"400.5","400.5","400.5","ER/NR","400.5","400.5","400.5","Wind","Wind","Holcomb 345 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-099","","DISIS-2024-001","05 SOUTHWEST","Castro","TX","SPS","12/31/2030","12/31/2031",,,"300","300","300","ER/NR","300","300","304","Solar","Photovoltaic","Newhart 230 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-092","","DISIS-2024-001","05 SOUTHWEST","Roosevelt","NM","SPS","6/1/2029","12/31/2029",,,"199.5","199.5","199.5","ER/NR","199.5","199.5","208.25","Battery/Storage","Battery","Portales 115 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-091","","DISIS-2024-001","03 CENTRAL","Jasper","MO","EDE","2/15/2028","3/1/2028",,,"100","100","100","ER/NR","100","100","104.593","Battery/Storage","Battery","145 JOPLIN WEST 7TH 161 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-090","","DISIS-2024-001","03 CENTRAL","Clay ","MO","WERE","2/15/2028","3/1/2028",,,"100","100","100","ER/NR","100","100","104.57","Battery/Storage","Battery","Smithville 161 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-089","","DISIS-2024-001","05 SOUTHWEST","Cury","NM","SPS","8/1/2029","12/1/2029",,,"195","195","195","ER","195","0","202.5","Wind","Wind","Pleasant Hills 230 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-088","","DISIS-2024-001","03 CENTRAL","Greene","MO","SPRM","12/18/2026","1/1/2027",,,"145","145","145","ER/NR","145","145","145","Thermal","Gas","McCartney 161 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-085","","DISIS-2024-001","03 CENTRAL","Rush","KS","SUNC","7/1/2029","9/1/2029",,,"160","160","160","ER/NR","160","160","162.841","Solar","Photovoltaic","Otis 115 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-084","","DISIS-2024-001","03 CENTRAL","Lawrence","MO","EMDE","9/25/2028","11/25/2028",,,"167","167","167","ER/NR","167","167","169.76","Battery/Storage","Battery","Reeds Spring - Aurora 161 kV Line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-083","","DISIS-2024-001","04 SOUTHEAST","Choctaw","OK","ITCGP","9/30/2029","12/31/2029",,,"250","250","250","ER/NR","250","250","258.72","Solar","Photovoltaic","Hugo 345 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-082","","DISIS-2024-001","01 NORTH","Williams","ND","BEPC","5/1/2029","3/1/2030",,,"745","745","745","ER","745","0","760","Thermal","Gas","Springbrook - Tande 345 kV Line","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-081","","DISIS-2024-001","01 NORTH","Williams","ND","BEPC","4/1/2028","2/1/2029",,,"745","745","745","ER","745","0","760","Thermal","Gas","Springbrook - Tande 345 kV Line","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-080","","DISIS-2024-001","05 SOUTHWEST","Clovis","NM","SPS","10/1/2029","12/1/2029",,,"250","250","250","ER/NR","250","250","254","Solar","Photovoltaic","San Juan 230 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-079","","DISIS-2024-001","05 SOUTHWEST","Clovis","NM","SPS","10/1/2029","12/1/2029",,,"250","250","250","ER/NR","250","250","254","Solar","Photovoltaic","San Juan 230 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-078","","DISIS-2024-001","05 SOUTHWEST","Stinnett","TX","SPS","10/1/2029","12/1/2029",,,"300","300","300","ER/NR","300","300","305.5","Solar","Photovoltaic","Pringle 230 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-077","","DISIS-2024-001","05 SOUTHWEST","Stinnett","TX","SPS","10/1/2029","12/1/2029",,,"300","300","300","ER/NR","300","300","305.5","Solar","Photovoltaic","Pringle 230 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-076","","DISIS-2024-001","03 CENTRAL","Burbon","KS","WERE","10/1/2029","12/1/2029",,,"130","130","130","ER/NR","130","130","132","Solar","Photovoltaic","Neosho - LaCygne 345 kV Line","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-074","","DISIS-2024-001","03 CENTRAL","Jackson","MO","WERE","11/1/2028","12/1/2028",,,"200","200","200","ER/NR","200","200","200","Battery/Storage","Battery","Duncan Road 161 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-073","","DISIS-2024-001","05 SOUTHWEST","Lea","NM","NEETSW","9/1/2028","12/1/2028",,,"500","500","500","ER/NR","500","500","1092.8","Hybrid","Solar/Storage","Crossroads - Hobbs 345 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-072","","DISIS-2024-001","03 CENTRAL","Mitchell","KS","SUNC","2/1/2029","4/1/2029",,,"160","160","160","ER/NR","160","160","162.841","Solar","Photovoltaic","Beloit 115 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-071","","DISIS-2024-001","04 SOUTHEAST","Cass","TX","AEP","5/15/2027","7/1/2027",,,"75","75","75","ER/NR","75","75","76.846","Hybrid","Solar/Storage","West Atlanta - Atlanta 69 kV Line","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-069","","DISIS-2024-001","03 CENTRAL","Crawford","KS","WERE","9/30/2028","12/31/2028",,,"228","228","228","ER/NR","228","228","228","Hybrid","Solar/Storage","Franklin 69 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-068","","DISIS-2024-001","04 SOUTHEAST","Morris","TX","AEP","10/2/2028","12/29/2028",,,"300","300","300","ER/NR","300","300","318","Solar","Photovoltaic","Lydia - Welsh 345 kV Line","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-067","","DISIS-2024-001","03 CENTRAL","Cloud","KS","ITCGP","5/1/2029","7/1/2029",,,"380","380","380","ER/NR","380","380","386.84","Solar","Photovoltaic","Cirrus 345 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-065","","DISIS-2024-001","02 NEBRASKA","Dodge","NE","NPPD","8/31/2029","12/31/2029",,,"150","150","150","ER/NR","150","150","157.096","Battery/Storage","Battery","FREMONT7 115 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-063","","DISIS-2024-001","05 SOUTHWEST","Lamb","TX","SPS","10/31/2027","12/31/2027",,,"256","256","256","ER/NR","256","256","275.88","Solar","Photovoltaic","Plant X 230 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-062","","DISIS-2024-001","04 SOUTHEAST","Kingfisher ","OK","WFEC","11/1/2028","12/31/2028",,,"230","230","230","ER/NR","230","230","235","Battery/Storage","Battery","Dover SW 138 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-061","","DISIS-2024-001","03 CENTRAL","Cowley","KS","WERE","11/1/2028","12/31/2028",,,"200","200","200","ER/NR","200","200","204.1","Battery/Storage","Battery","Creswell 138 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-058","","DISIS-2024-001","04 SOUTHEAST","Nowata","OK","AEP","10/2/2028","12/29/2028",,,"200","200","200","ER/NR","200","200","216.49","Wind","Wind","Farmland - Delaware 138 kV line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-056","","DISIS-2024-001","04 SOUTHEAST","Noble","OK","OGE","8/31/2029","12/31/2029",,,"120","120","120","ER/NR","120","120","121.82","Solar","Photovoltaic","Cow Creek - Morrison 138 kV line","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-055","","DISIS-2024-001","03 CENTRAL","Vernon","MO","WERE","8/31/2029","12/31/2029",,,"175","175","175","ER/NR","175","175","177.65","Solar","Photovoltaic","Butler - Nevada 161 kV line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-054","","DISIS-2024-001","03 CENTRAL","Cooper","MO","WERE","8/31/2029","12/31/2029",,,"120","120","120","ER/NR","120","120","128.75","Solar","Photovoltaic","Overton - Sedalia East 161 kV line","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-052","","DISIS-2024-001","04 SOUTHEAST","Choctaw","OK","WFEC","12/1/2028","2/1/2029",,,"42","42","42","ER/NR","42","42","86.501","Hybrid","Solar/Storage","Unger - West Bank Tap 138 kV Line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-051","","DISIS-2024-001","02 NEBRASKA","Lancaster","NE","LES","3/17/2028","5/17/2028",,,"170","170","170","ER/NR","170","170","178","Battery/Storage","Battery","Waverly 115 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-050","","DISIS-2024-001","05 SOUTHWEST","Castro","TX","SPS","11/30/2028","12/31/2028",,,"300","300","300","ER/NR","300","300","532.848","Hybrid","Solar/Storage","Olson 230 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-046","","DISIS-2024-001","05 SOUTHWEST","Hansford","TX","SPS","10/1/2029","12/1/2029",,,"345","345","345","ER/NR","345","345","350.2","Solar","Photovoltaic","Hitchland-Moore 230 kV line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-045","","DISIS-2024-001","05 SOUTHWEST","Hansford","TX","SPS","10/1/2029","12/1/2029",,,"345","345","345","ER/NR","345","345","350.5","Solar","Photovoltaic","Hitchland - Moore 230kV line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-044","","DISIS-2024-001","04 SOUTHEAST","Parish Caddo ","LA","AEP","5/15/2027","7/1/2027",,,"36","36","36","ER/NR","36","36","74.153","Hybrid","Solar/Storage","Hosston - Plain Dealing 69 kV Line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-043","","DISIS-2024-001","05 SOUTHWEST","Roosevelt","NM","SPS","9/15/2029","12/31/2029",,,"250","250","250","ER/NR","250","250","261","Wind","Wind","Crossroads - Tolk 345 kV Line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-042","","DISIS-2024-001","05 SOUTHWEST","Floyd","TX","SPS","10/15/2027","7/1/2028",,,"250","250","250","ER/NR","250","250","261","Wind","Wind","Tuco - Whirlwind 345 kV line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-041","","DISIS-2024-001","05 SOUTHWEST","Floyd","TX","SPS","10/1/2029","12/31/2029",,,"250","250","250","ER/NR","250","250","261","Wind","Wind","Tuco - Whirlwind 345 kV Line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-040","","DISIS-2024-001","02 NEBRASKA","Nemaha","NE","OPPD","10/1/2029","12/31/2029",,,"174","174","174","ER/NR","174","174","190.8","Solar","Photovoltaic","S3458 to Cooper 345 kV line","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-039","","DISIS-2024-001","02 NEBRASKA","Nemaha","NE","OPPD","10/1/2029","12/31/2029",,,"250","250","250","ER/NR","250","250","262.4","Solar","Photovoltaic","Humboldt - S1280 161 kV line","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-038","","DISIS-2024-001","02 NEBRASKA","Nemaha","NE","OPPD","10/1/2029","12/31/2029",,,"300","300","300","ER/NR","300","300","318.06","Solar","Photovoltaic","Cooper - S12080 161 kV line","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-035","","DISIS-2024-001","01 NORTH","Brown","SD","BEPC","9/1/2027","12/30/2027",,,"270","270","270","ER/NR","270","270","435.115","Hybrid","Solar/Storage","Groton 345 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-034","","DISIS-2024-001","01 NORTH","Sargent","ND","WAPA","3/1/2029","7/1/2029",,,"175","175","175","ER/NR","175","175","181.35","Battery/Storage","Battery","Forman 115 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-032","","DISIS-2024-001","03 CENTRAL","Stevens","KS","SUNC","11/1/2028","12/31/2028",,,"250","250","250","ER/NR","250","250","255","Solar","Photovoltaic","Hugoton 115 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-030","","DISIS-2024-001","03 CENTRAL","Gray","KS","SUNC","11/1/2028","12/31/2028",,,"150","150","150","ER/NR","150","150","153","Solar","Photovoltaic","Santa Fe 115 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-029","","DISIS-2024-001","04 SOUTHEAST","Logan","OK","OGE","11/1/2028","12/31/2028",,,"150","150","150","ER/NR","150","150","153.605","Battery/Storage","Battery","Crescent 138 kV Substation","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-025","","DISIS-2024-001","04 SOUTHEAST","Bowie","TX","AEP","6/1/2030","12/31/2030",,,"300","300","300","ER/NR","300","300","307","Solar","Photovoltaic","Lydia 345 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-023","","DISIS-2024-001","02 NEBRASKA","Gage","NE","NPPD","9/30/2030","12/31/2030",,,"270","270","270","ER/NR","270","270","270.9","Thermal","Gas","New Beatrice Power Station 345 kV","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-022","","DISIS-2024-001","02 NEBRASKA","Gage","NE","NPPD","9/30/2030","12/31/2030",,,"390","390","390","ER/NR","390","390","392.14","Thermal","Gas","New Beatrice Power Station 345 kV","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-021","","DISIS-2024-001","02 NEBRASKA","Lancaster","NE","NPPD","9/30/2030","12/31/2030",,,"540","540","540","ER/NR","540","540","541.8","Thermal","Gas","Olive Creek 345 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-020","","DISIS-2024-001","02 NEBRASKA","Lancaster","NE","NPPD","9/30/2030","12/31/2030",,,"390","390","390","ER/NR","390","390","392.14","Thermal","Gas","Olive Creek 345 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-019","","DISIS-2024-001","02 NEBRASKA","Gage","NE","NPPD","9/30/2030","12/31/2030",,,"62","62","62","ER/NR","62","62","62","Thermal","Gas","New Beatrice Power Station 345 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-018","","DISIS-2024-001","02 NEBRASKA","Gage","NE","NPPD","9/30/2030","12/31/2030",,,"31","31","31","ER/NR","31","31","31","Thermal","Gas","New Beatrice Power Station 345 kV","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-017","","DISIS-2024-001","02 NEBRASKA","Lancaster","NE","NPPD","9/30/2030","12/31/2030",,,"62","62","62","ER/NR","62","62","62","Thermal","Gas","Olive Creek 345 kV Substation","10/30/2024",,"DISIS STAGE","Yes","",""
"GEN-2024-016","","DISIS-2024-001","03 CENTRAL","Smith","KS","ITCGP","10/2/2028","12/29/2028",,,"300","300","300","ER/NR","300","300","324.73","Wind","Wind","Post Rock - Macon 345 kV Line","10/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-015","","DISIS-2024-001","05 SOUTHWEST","Yoakum","TX","SPS","9/1/2028","12/1/2028",,,"280","280","280","ER/NR","280","280","463.133","Hybrid","Solar/Storage","Sundown-Amaco-Yoakum 230 kV Substation","10/4/2024",,"DISIS STAGE","No","",""
"GEN-2024-013","","DISIS-2024-001","04 SOUTHEAST","McClain","OK","OGE","4/1/2029","1/1/2030",,,"496","496","496","ER/NR","496","496","496","Thermal","CT","Norman Hills 345 kV","8/2/2024",,"DISIS STAGE","No","",""
"GEN-2024-007","","DISIS-2024-001","03 CENTRAL","Stafford ","KS","MIDW","1/30/2028","12/31/2028",,,"80","80","80","ER/NR","80","80","162.2","Hybrid","Solar/Storage","Seward 115 kV Substation","4/30/2024",,"DISIS STAGE","No","",""
"GEN-2024-003","","DISIS-2024-001","04 SOUTHEAST","Franklin","AR","AECC","9/12/2025","11/7/2025",,,"102.2","102.2","102.2","ER","102.2","0","102.2","Thermal","CT","Fitzhugh 161kV","4/25/2024",,"DISIS STAGE","No","",""
"GEN-2023-SR9","","Surplus","05 SOUTHWEST","Lorenzo","TX","Xcel",,"6/1/2026",,,"50","50","50","ER","0","0","0","Battery/Storage","","Tap Floyd County Interchange and Crosby County Interchange 115kV Line","2/13/2023",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-SR8","","Surplus","05 SOUTHWEST","Gruver","TX","Xcel",,"6/1/2026",,,"200","200","200","ER","0","0","0","Battery/Storage","","Hitchland 345 kV Substation","2/13/2023",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-SR7","","Surplus","02 NEBRASKA","Wayne Co","NE","NPPD",,"12/31/2024",,,"135","135","135","ER","0","0","0","Battery/Storage","","Hoskins 345 kV Substation","12/16/2022",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2023-SR5","","Surplus","04 SOUTHEAST","Seiling","OK","OGE",,"6/1/2026",,,"85","85","85","ER","0","0","0","Battery/Storage","","Tatonga 345 kV Substation","12/15/2022",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-SR4","","Surplus","01 NORTH","Burke","ND","BEPC",,"6/1/2026",,,"170","170","170","ER","0","0","0","Battery/Storage","","Tande 345 kV Substation","12/15/2022",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-SR28","","Surplus","03 CENTRAL","Ford","KS","SUNC",,"12/31/2025",,,"150","150","150","ER ","0","0","0","Solar","","115 kV Fort Dodge Substation","10/6/2023",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-SR27","","Surplus","04 SOUTHEAST","Mayes County","OK","GRDA","12/1/2021","8/1/2024",,,"101.5","101.5","101.5","ER","0","0","0","Battery/Storage","","GRDA1 to CLARMR 5 161kV line","7/12/2023",,"IA PENDING","N/A","",""
"GEN-2023-SR26","","Surplus","04 SOUTHEAST","Mayes County","OK","AEP","12/1/2021","12/9/2024",,,"72.5","72.5","72.5","ER","0","0","0","Battery/Storage","","Pryor Junction 138kV sub","7/12/2023",,"IA PENDING","N/A","",""
"GEN-2023-SR25","","Surplus","04 SOUTHEAST","Mayes County","OK","GRDA","12/1/2021","8/1/2024",,,"72.5","72.5","72.5","ER","0","0","0","Battery/Storage","","Dry Gulch 161kV sub","7/12/2023",,"IA PENDING","N/A","",""
"GEN-2023-SR22","","Surplus","04 SOUTHEAST","Mayes County","OK","AEP",,"12/6/2024",,,"124.7","124.7","124.7","ER","0","0","0","Battery/Storage","","Explorer Claremore Tap COOYYAH4","6/20/2023",,"IA PENDING","N/A","",""
"GEN-2023-SR20","","Surplus","04 SOUTHEAST","Custer/Wasita","OK","AEP",,"6/1/2025",,,"120","120","120","ER","0","0","0","Battery/Storage","","Weatherford 138 kV Substation","6/21/2023",,"IA PENDING","N/A","",""
"GEN-2023-SR19","","Surplus","02 NEBRASKA","Jefferson County","NE","NPPD",,"9/8/2026",,,"50","50","50","ER","0","0","0","Battery/Storage","","Steele City 115 kV","6/21/2023",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2023-SR18","","Surplus","04 SOUTHEAST","Grady County","OK","OGE",,"4/15/2025",,,"80","80","80","ER","0","0","0","Battery/Storage","","Minco 345 kV","6/20/2023",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2023-SR16","","Surplus","04 SOUTHEAST","Woodward and Harper Counties","OK","OG&E",,"6/1/2025",,,"70","70","70","ER","0","0","0","Battery/Storage","","Tap Mooreland to Woodward 138 kV Line (FPLSwitch 138 kV Substation)","4/26/2023",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-SR13","","Surplus","04 SOUTHEAST","Garfield County","OK","OG&E",,"4/15/2025",,,"70","70","70","ER","0","0","0","Battery/Storage","","Breckinridge 138 kV Substation","1/26/2023",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2023-SR12","","Surplus","05 SOUTHWEST","Whiteface","TX","Xcel",,"9/30/2025",,,"120","120","120","ER","0","0","0","Battery/Storage","","Tap Cochran to Lehman 115 kV Line","2/13/2023",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-SR1","","Surplus","02 NEBRASKA","Brown","NE","NPPD","10/1/2005","6/21/2024",,,"21.9","21.9","21.9","ER/NR","0","0","0","Thermal","","Ainsworth Wind 115 kV","12/5/2022",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-GR5","","Replacement","05 SOUTHWEST","Lamb County","TX","Xcel/SPS",,"4/1/2026","8/11/2022",,"150","150","150","ER","0","0","0","Solar","","Plant X 115 kV Substation","7/18/2023",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-GR4","","Replacement","05 SOUTHWEST","Lea County","NM","Xcel/SPS",,"5/1/2026","7/13/2022",,"72","72","72","ER","0","0","0","Solar","","Cunningham 115kV","7/5/2023",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-GR3","","Replacement","05 SOUTHWEST","Quay County","NM","Xcel/SPS","12/1/2004","12/27/2024","9/16/2024","12/31/2004","80","80","80","ER/NR","0","0","0","Wind","","Norton 115 kV","6/30/2023",,"IA FULLY EXECUTED/COMMERCIAL OPERATION","N/A","",""
"GEN-2023-GR2","","Replacement","04 SOUTHEAST","Oklahoma City","OK","OG&E",,"5/1/2026","4/1/2026",,"94.242","84.926","94.242","ER","0","0","0","Thermal","Gas","Tinker Air Force Base 138kV","2/17/2023",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-GR1","","Replacement","04 SOUTHEAST","Anadarko","OK","WFEC",,"12/1/2025","11/30/2025",,"97.488","97.488","95.64","ER","0","0","0","Thermal","Gas","Anadarko Power Plant 69 kV","1/9/2023",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2023-241","","DISIS-2023-001","04 SOUTHEAST","Franklin & Wood","TX","AEP","8/28/2027","4/19/2029",,,"93","93","93","ER","0","0","0","Solar","","Winnsboro 138 kV Substation","10/2/2023",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2023-230","","DISIS-2023-001","04 SOUTHEAST","Bossier","LA","AEP","2/4/2028","11/19/2028",,,"150","150","150","ER/NR","0","0","0","Hybrid","Solar/Storage","Red Pointe 138 kV Substation","10/2/2023",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2023-229","","DISIS-2023-001","04 SOUTHEAST","Caddo","OK","AEP","4/1/2028","4/30/2029",,,"230","230","230","ER/NR","0","0","0","Wind","","Southwestern Power Station 138 kV Substation (SWS4)","10/2/2023",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2023-225","","DISIS-2023-001","02 NEBRASKA","Lancaster","NE","NPPD","3/1/2027","6/1/2029",,,"217","217","217","ER","0","0","0","Thermal","RICE","Olive Creek 345 kV Substation","10/2/2023",,"FACILITY STUDY STAGE","N/A","",""
